index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.10085640847682953,0.015848249197006226,0.07302591949701309,0.008100830018520355,0.005882857367396355,0.0330449640750885
10,2,0,0.6431833505630493,0.43401792645454407,0.42071372270584106,0.18257902562618256,0.09352630376815796,0.12588515877723694
11,2,1,0.5449911952018738,0.2993098199367523,0.4287179708480835,0.18431147933006287,0.12050824612379074,0.13303342461585999
15,3,0,0.6918053030967712,0.5435407757759094,0.44975996017456055,0.2208872139453888,0.12663166224956512,0.13982078433036804
16,3,1,0.08033175766468048,0.008877713233232498,0.06253468245267868,0.005249381065368652,0.0023077200166881084,0.0206033606082201
17,3,2,0.08570189028978348,0.010164672508835793,0.06287428736686707,0.005706727039068937,0.005413911771029234,0.02609969861805439
20,4,0,0.6023414134979248,0.5834407210350037,0.3350909650325775,0.1539529412984848,0.1547432541847229,0.13053910434246063
21,4,1,0.6491608619689941,0.42634472250938416,0.47538086771965027,0.22832965850830078,0.1092110276222229,0.13398070633411407
22,4,2,0.44898858666419983,0.23781009018421173,0.28536170721054077,0.09128601849079132,0.03632916510105133,0.07491502165794373
23,4,3,0.3601818382740021,0.1868589222431183,0.2424166053533554,0.08608175814151764,0.0904913917183876,0.10538676381111145
