index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.4503787159919739,0.20485495030879974,0.25486063957214355,0.06561686843633652,0.03143894672393799,0.07826218008995056
10,2,0,0.26058927178382874,0.06907440721988678,0.18555720150470734,0.03470710292458534,0.012614895589649677,0.05414726957678795
11,2,1,1.3912017345428467,2.015512228012085,0.6461470723152161,0.42110374569892883,0.26775598526000977,0.20438311994075775
15,3,0,0.10154110193252563,0.012074192054569721,0.09085933119058609,0.009785314090549946,0.006039745640009642,0.02900395169854164
16,3,1,0.33537790179252625,0.12737736105918884,0.19951750338077545,0.04612069949507713,0.025883689522743225,0.06597466766834259
17,3,2,0.47070732712745667,0.2321430891752243,0.34850361943244934,0.12725864350795746,0.07523678243160248,0.11343993991613388
20,4,0,0.041928984224796295,0.002017261227592826,0.030331527814269066,0.001065872493200004,0.0008046981529332697,0.011122757568955421
21,4,1,1.6325653791427612,2.727604389190674,0.7670859098434448,0.5903140902519226,0.39350348711013794,0.24192595481872559
22,4,2,0.9305034875869751,0.8846726417541504,0.5548940300941467,0.3101777136325836,0.16628406941890717,0.16869542002677917
23,4,3,0.06364474445581436,0.005356333218514919,0.047259192913770676,0.0029348605312407017,0.002372517716139555,0.018072031438350677
