index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
5,1,0,0.08020119369029999,0.01162317581474781,0.05511920154094696,0.005235421471297741,0.004547031130641699,0.029738089069724083
10,2,0,0.0940229520201683,0.012080552987754345,0.061327606439590454,0.005095338448882103,0.0034482143819332123,0.024646174162626266
11,2,1,0.08157610893249512,0.00784852635115385,0.06034938991069794,0.004257563967257738,0.0011884543346241117,0.01550720538944006
15,3,0,0.37808868288993835,0.23854240775108337,0.2242242395877838,0.07675618678331375,0.08712099492549896,0.10328613221645355
16,3,1,0.6896633505821228,0.4830789566040039,0.49186572432518005,0.24481116235256195,0.11269392818212509,0.14353500306606293
17,3,2,0.5396864414215088,0.30267563462257385,0.35568758845329285,0.13047091662883759,0.05876743048429489,0.11060154438018799
20,4,0,0.9484990239143372,0.9250028133392334,0.5698274374008179,0.32835856080055237,0.23820480704307556,0.18510310351848602
21,4,1,0.07742639631032944,0.00804456602782011,0.052440546452999115,0.0035933086182922125,0.0021772850304841995,0.017241964116692543
22,4,2,0.5935088992118835,0.361820250749588,0.37700027227401733,0.14351172745227814,0.08315662294626236,0.1236794963479042
23,4,3,0.2525266706943512,0.07635705918073654,0.15475527942180634,0.028666403144598007,0.020989306271076202,0.05896550416946411
