var_row,var_col,dependence
3,0,1
7,5,1
7,6,1
3,2,1
8,4,1
3,1,1
7,4,1
7,3,1
9,7,1
7,0,1
9,5,1
9,6,1
7,2,1
8,7,1
7,1,1
9,4,1
9,3,1
1,0,0
5,3,0
6,3,0
2,1,0
9,8,0
9,1,0
4,3,0
9,0,0
5,4,0
6,4,0
9,2,0
8,3,0
4,1,0
4,0,0
5,1,0
6,1,0
4,2,0
8,1,0
6,0,0
5,2,0
8,6,0
8,2,0
8,0,0
8,5,0
6,2,0
2,0,0
6,5,0
5,0,0
