,index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
0,10,1,0,2.709986686706543,8.831130027770996,0.5467202067375183,0.32975465059280396,0.22136658430099487,0.3291204571723938
1,20,2,0,0.5448809862136841,0.43294697999954224,0.16083887219429016,0.03660588711500168,0.03733587637543678,0.1530751883983612
2,21,2,1,0.7884332537651062,0.6910032033920288,0.36956197023391724,0.1474565863609314,0.0841069146990776,0.23229043185710907
3,30,3,0,4.632165431976318,23.40227508544922,0.4210623502731323,0.1894160956144333,0.2530629634857178,0.4457983374595642
4,31,3,1,2.902745485305786,9.072670936584473,0.4224833846092224,0.19086243212223053,0.21636039018630981,0.38104891777038574
5,32,3,2,0.8215160369873047,0.8601148724555969,0.17260882258415222,0.03842596337199211,0.07746004313230515,0.2401355654001236
6,40,4,0,0.9839855432510376,1.193650722503662,0.13555222749710083,0.02167421393096447,0.03088376671075821,0.16871009767055511
7,41,4,1,0.6984238624572754,0.584182620048523,0.15372195839881897,0.027090296149253845,0.022362763062119484,0.1360255926847458
8,42,4,2,0.3075457811355591,0.12804940342903137,0.10592592507600784,0.016467390581965446,0.01789393275976181,0.11563540995121002
9,43,4,3,10.519956588745117,139.168701171875,0.8970022201538086,0.8071497082710266,1.4669445753097534,0.6560457348823547
10,50,5,0,0.716467559337616,0.9051678776741028,0.25364843010902405,0.09834583103656769,0.12453324347734451,0.26891106367111206
11,51,5,1,0.19234929978847504,0.06438802182674408,0.10608958452939987,0.017136482521891594,0.020397815853357315,0.11218580603599548
12,52,5,2,0.13482987880706787,0.028691217303276062,0.10858962684869766,0.017768196761608124,0.01615522801876068,0.10468048602342606
13,53,5,3,0.43139219284057617,0.2800309658050537,0.10640007257461548,0.01615365594625473,0.042557358741760254,0.16969333589076996
14,54,5,4,0.21879848837852478,0.07826653122901917,0.08034517616033554,0.009434477426111698,0.01633196510374546,0.11221903562545776
15,60,6,0,3.3631391525268555,14.249387741088867,0.7202896475791931,0.562445878982544,0.5170232057571411,0.5035345554351807
16,61,6,1,0.8883033990859985,1.171269416809082,0.2996774911880493,0.11081086099147797,0.06287242472171783,0.19260644912719727
17,62,6,2,0.22855746746063232,0.07579168677330017,0.1279265582561493,0.023658297955989838,0.02651221677660942,0.12797953188419342
18,63,6,3,1.3980635404586792,2.6118483543395996,0.21222494542598724,0.05349293351173401,0.06621146947145462,0.23994788527488708
19,64,6,4,0.24910783767700195,0.10438849776983261,0.0683494359254837,0.0084458002820611,0.015299730934202671,0.12273246794939041
20,65,6,5,0.4692407250404358,0.32728663086891174,0.3185555934906006,0.13744215667247772,0.11902205646038055,0.26134222745895386
21,70,7,0,0.6534850597381592,0.6736996173858643,0.1963605433702469,0.05229635164141655,0.030887873843312263,0.16348642110824585
22,71,7,1,0.8906309604644775,1.1191771030426025,0.426296591758728,0.22810900211334229,0.16152124106884003,0.3219107687473297
23,72,7,2,0.17911769449710846,0.05053233727812767,0.12290512770414352,0.021862952038645744,0.016750650480389595,0.0990176573395729
24,73,7,3,0.5362336039543152,0.44723114371299744,0.11275095492601395,0.01797337271273136,0.024656787514686584,0.17752018570899963
25,74,7,4,0.1477978676557541,0.04112691804766655,0.048868417739868164,0.004097966942936182,0.008999216370284557,0.08656027168035507
26,75,7,5,0.07766443490982056,0.011238646693527699,0.07044219225645065,0.008777102455496788,0.014753282070159912,0.09007178246974945
27,76,7,6,0.3136223256587982,0.18343126773834229,0.15752312541007996,0.03414078429341316,0.02872355468571186,0.1389489471912384
28,80,8,0,0.39303556084632874,0.21095715463161469,0.12383066117763519,0.019754644483327866,0.0191178061068058,0.11063213646411896
29,81,8,1,0.3366040885448456,0.15216834843158722,0.167071133852005,0.03564414754509926,0.01692458614706993,0.10787389427423477
30,82,8,2,0.3868875205516815,0.17875120043754578,0.2693210542201996,0.08167366683483124,0.030008776113390923,0.13276129961013794
31,83,8,3,0.2669324278831482,0.1076885238289833,0.059265587478876114,0.005244394764304161,0.010459025390446186,0.08333439379930496
32,84,8,4,0.20310275256633759,0.06074538081884384,0.06678272783756256,0.00613021943718195,0.0056308419443666935,0.06372217833995819
33,85,8,5,0.09544876217842102,0.011707554571330547,0.0829358920454979,0.008639857172966003,0.004048917908221483,0.059393491595983505
34,86,8,6,0.2635663151741028,0.10529549419879913,0.13878081738948822,0.023718981072306633,0.009547249414026737,0.09206151217222214
35,87,8,7,0.05318364128470421,0.0047232648357748985,0.03963925689458847,0.002385703381150961,0.001988941803574562,0.050335198640823364
36,90,9,0,0.41941913962364197,0.3751191794872284,0.18353845179080963,0.06202609837055206,0.08328218758106232,0.2058231085538864
37,91,9,1,0.21842573583126068,0.09432151168584824,0.14579303562641144,0.03573733568191528,0.036465272307395935,0.1442507803440094
38,92,9,2,0.10181169211864471,0.01641908660531044,0.10145381838083267,0.015944158658385277,0.013863072730600834,0.09485699981451035
39,93,9,3,0.3578285276889801,0.30072879791259766,0.09803713113069534,0.016434885561466217,0.03358914330601692,0.16395720839500427
40,94,9,4,0.17950430512428284,0.05185496807098389,0.07891309261322021,0.008513015694916248,0.008957315236330032,0.07930422574281693
41,95,9,5,0.09983353316783905,0.014710844494402409,0.12329389899969101,0.022452974691987038,0.029942190274596214,0.13932116329669952
42,96,9,6,0.16214565932750702,0.04879271984100342,0.1321871280670166,0.027111327275633812,0.03523270785808563,0.15052954852581024
43,97,9,7,0.09704317897558212,0.016596199944615364,0.10144247114658356,0.016760097816586494,0.014071820303797722,0.0938873142004013
44,98,9,8,0.17304284870624542,0.038937103003263474,0.18016615509986877,0.04035436362028122,0.026624659076333046,0.12268508970737457
