,index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
0,10,1,0,1.0793519020080566,1.326777696609497,0.3742765188217163,0.1626242995262146,0.053361136466264725,0.19546300172805786
1,20,2,0,0.6450886130332947,0.545142650604248,0.24936765432357788,0.07318305969238281,0.044380899518728256,0.1607300490140915
2,21,2,1,0.17599941790103912,0.059309203177690506,0.08742601424455643,0.012529355473816395,0.014928177930414677,0.08889641612768173
3,30,3,0,1.1615779399871826,1.5219275951385498,0.2582493722438812,0.07540149986743927,0.026498300954699516,0.12399324029684067
4,31,3,1,1.0554364919662476,1.2423704862594604,0.3037211298942566,0.09844695776700974,0.030594488605856895,0.14836199581623077
5,32,3,2,0.6885437369346619,0.5126030445098877,0.24533987045288086,0.06530195474624634,0.06052787974476814,0.18939973413944244
6,40,4,0,0.3928782343864441,0.3547474443912506,0.06872853636741638,0.008222261443734169,0.01261804811656475,0.0929325744509697
7,41,4,1,0.26890307664871216,0.14270994067192078,0.06744304299354553,0.007639429531991482,0.009494329802691936,0.08308336138725281
8,42,4,2,0.22339633107185364,0.07882822304964066,0.0733146220445633,0.007935783825814724,0.017574399709701538,0.09414954483509064
9,43,4,3,4.942263126373291,26.197031021118164,0.8484172821044922,0.7215481400489807,0.6739754676818848,0.5661929845809937
10,50,5,0,0.5849056839942932,0.5951126217842102,0.2792995274066925,0.12459764629602432,0.18898503482341766,0.2957325875759125
11,51,5,1,0.17400583624839783,0.05512923747301102,0.11011295020580292,0.019841400906443596,0.018407275900244713,0.10973647981882095
12,52,5,2,0.1528071016073227,0.03960295021533966,0.11948733031749725,0.022865744307637215,0.023673493415117264,0.11514339596033096
13,53,5,3,0.18841207027435303,0.0568837933242321,0.07982906699180603,0.010007424280047417,0.010637645609676838,0.08707156032323837
14,54,5,4,0.23907548189163208,0.09402748942375183,0.094271719455719,0.0138531643897295,0.01785643957555294,0.10871904343366623
15,60,6,0,1.589203953742981,4.121218681335449,0.45825380086898804,0.2820150554180145,0.34842318296432495,0.388129323720932
16,61,6,1,0.7275832295417786,0.7861336469650269,0.2979569435119629,0.11470083892345428,0.06044384837150574,0.20135372877120972
17,62,6,2,0.18150147795677185,0.05222785472869873,0.09614434838294983,0.013765447773039341,0.0216686874628067,0.10951423645019531
18,63,6,3,0.2898247539997101,0.13913902640342712,0.07998664677143097,0.00969636905938387,0.015378511510789394,0.09316691756248474
19,64,6,4,0.5765509009361267,0.5107346773147583,0.14192189276218414,0.026239892467856407,0.02357785589993,0.11605729162693024
20,65,6,5,0.7886638641357422,0.7271391153335571,0.5120823383331299,0.30180564522743225,0.1795535832643509,0.31999918818473816
21,70,7,0,0.4509458839893341,0.34219834208488464,0.16247761249542236,0.03577028214931488,0.021787172183394432,0.11781415343284607
22,71,7,1,1.0675780773162842,2.1026594638824463,0.4640409052371979,0.27681881189346313,0.2613142728805542,0.362108439207077
23,72,7,2,0.13410143554210663,0.030284743756055832,0.08689800649881363,0.01189403235912323,0.015538015402853489,0.09238563477993011
24,73,7,3,0.3451191484928131,0.2348887175321579,0.10469388216733932,0.01678730733692646,0.014438501559197903,0.10554049909114838
25,74,7,4,0.2811548709869385,0.1303754597902298,0.08854608237743378,0.011441654525697231,0.015640143305063248,0.10053781419992447
26,75,7,5,0.14086420834064484,0.03738405928015709,0.1109103113412857,0.021016664803028107,0.022082874551415443,0.11257997900247574
27,76,7,6,0.33031851053237915,0.21479001641273499,0.16208232939243317,0.041405729949474335,0.04253051429986954,0.15395130217075348
28,80,8,0,0.1996808797121048,0.05484896898269653,0.09931231290102005,0.013223724439740181,0.007535584270954132,0.07197389006614685
29,81,8,1,0.16847734153270721,0.044125474989414215,0.10586033016443253,0.015850264579057693,0.006288356613367796,0.06341015547513962
30,82,8,2,0.15621545910835266,0.031064383685588837,0.12478358298540115,0.019409960135817528,0.007456384599208832,0.06834935396909714
31,83,8,3,0.17648063600063324,0.045698054134845734,0.07380669564008713,0.00768915843218565,0.0023206991609185934,0.04680288955569267
32,84,8,4,0.09401685744524002,0.013444620184600353,0.03745237737894058,0.0020435478072613478,0.003302051452919841,0.04775260388851166
33,85,8,5,0.1028738021850586,0.014011356048285961,0.09902847558259964,0.012791731394827366,0.00968877598643303,0.07940059900283813
34,86,8,6,0.20524802803993225,0.05519391968846321,0.13997133076190948,0.026774371042847633,0.011303678154945374,0.08850093185901642
35,87,8,7,0.09960532933473587,0.01786593534052372,0.0776047483086586,0.009586690925061703,0.005032749846577644,0.06649415194988251
36,90,9,0,0.25582972168922424,0.13896667957305908,0.13976947963237762,0.0336020402610302,0.027687540277838707,0.12683847546577454
37,91,9,1,0.19021287560462952,0.07825877517461777,0.13680608570575714,0.03372371569275856,0.02796580083668232,0.12048377096652985
38,92,9,2,0.11971379071474075,0.025912197306752205,0.11507857590913773,0.022279128432273865,0.04659860581159592,0.14196032285690308
39,93,9,3,0.21249626576900482,0.09299229085445404,0.10428831726312637,0.019922537729144096,0.02726655639708042,0.11033205687999725
40,94,9,4,0.11289620399475098,0.02478860691189766,0.053024061024188995,0.004656733479350805,0.01306287944316864,0.0774456039071083
41,95,9,5,0.1061818078160286,0.01785663515329361,0.13143181800842285,0.028666360303759575,0.021506426855921745,0.11429484188556671
42,96,9,6,0.22024653851985931,0.08350934088230133,0.17094749212265015,0.04219908267259598,0.0374712310731411,0.14253050088882446
43,97,9,7,0.14535096287727356,0.03884260728955269,0.13190190494060516,0.0269867405295372,0.023624880239367485,0.11697256565093994
44,98,9,8,0.05583694949746132,0.004879788029938936,0.06640063226222992,0.006668295245617628,0.005944445729255676,0.06178181990981102
