index,var_row,var_col,precision_abs_mean,precision_square_mean,cond_correlation_abs_mean,cond_correlation_square_mean,kld,iae
7,1,0,1.9655183553695679,3.898658275604248,0.782387375831604,0.6125709414482117,0.43977662920951843,0.2572340667247772
14,2,0,0.9427245259284973,0.914549708366394,0.4268372058868408,0.18472522497177124,0.09835479408502579,0.13358627259731293
15,2,1,0.661263108253479,0.47444984316825867,0.4268297851085663,0.1946898251771927,0.12152628600597382,0.13577668368816376
21,3,0,0.08918458968400955,0.010600787587463856,0.03973441570997238,0.002209005644544959,0.0030141868628561497,0.020075863227248192
22,3,1,0.10819321125745773,0.01328402291983366,0.06739926338195801,0.005183553323149681,0.002133913803845644,0.018758337944746017
23,3,2,0.11316166818141937,0.014562081545591354,0.08056703209877014,0.007442864123731852,0.002383589744567871,0.02180720493197441
28,4,0,0.5605928301811218,0.3203352093696594,0.23253405094146729,0.05470913648605347,0.02875644899904728,0.07171450555324554
29,4,1,0.16108916699886322,0.029288513585925102,0.09607868641614914,0.010460732504725456,0.003276880830526352,0.023868421092629433
30,4,2,0.1818394511938095,0.03442636877298355,0.12295809388160706,0.01571938581764698,0.011603498831391335,0.04426299035549164
31,4,3,0.9805709719657898,0.9710658192634583,0.6294317245483398,0.39781272411346436,0.220995232462883,0.19706375896930695
35,5,0,1.3010915517807007,1.7465691566467285,0.5847479701042175,0.3450765013694763,0.21683374047279358,0.19404739141464233
36,5,1,0.8049769401550293,0.691798746585846,0.5139464735984802,0.2742396593093872,0.15854302048683167,0.17006954550743103
37,5,2,0.03187956660985947,0.0017548485193401575,0.023199355229735374,0.000891291128937155,0.0005938769318163395,0.011319329962134361
38,5,3,0.02683393284678459,0.0010588009608909488,0.018808163702487946,0.0005188529030419886,0.0017108628526329994,0.008920324966311455
39,5,4,0.07005849480628967,0.005341928917914629,0.04693135246634483,0.0023720560129731894,0.0014750937698408961,0.013611444272100925
42,6,0,0.8629634976387024,0.7672450542449951,0.4015597403049469,0.1627754122018814,0.08545420318841934,0.12904980778694153
43,6,1,0.05243822559714317,0.0033833710476756096,0.035338979214429855,0.0015432171057909727,0.000554917729459703,0.010866900905966759
44,6,2,0.06063588336110115,0.0050248270854353905,0.046109676361083984,0.0028578508645296097,0.001798439072445035,0.015645170584321022
45,6,3,0.03263331204652786,0.0017271549440920353,0.023940950632095337,0.0009435119573026896,0.001528139808215201,0.012982899323105812
46,6,4,0.5371366739273071,0.29352667927742004,0.37412533164024353,0.14212390780448914,0.06684363633394241,0.11275162547826767
47,6,5,0.07715390622615814,0.008386864326894283,0.05810157582163811,0.004638591315597296,0.0014460794627666473,0.022286556661128998
